Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      1.18     0.00    77103     0.00     0.00  ImGui::GetKeyData(ImGuiContext*, ImGuiKey)
  0.00      1.18     0.00    76607     0.00     0.00  ImGui::GetKeyData(ImGuiKey)
  0.00      1.18     0.00    76126     0.00     0.00  ImDrawList::PathLineTo(ImVec2 const&)
  0.00      1.18     0.00    76122     0.00     0.00  operator*(ImVec2 const&, float)
  0.00      1.18     0.00    71364     0.00     0.00  ImGui::ItemAdd(ImRect const&, unsigned int, ImRect const*, int)
  0.00      1.18     0.00    71364     0.00     0.00  ImRect::Overlaps(ImRect const&) const
  0.00      1.18     0.00    66612     0.00     0.00  ImVector<ImDrawCmd>::operator[](int)
  0.00      1.18     0.00    61854     0.00     0.00  ImGui::FindRenderedTextEnd(char const*, char const*)
  0.00      1.18     0.00    57096     0.00     0.35  ImDrawList::AddText(ImFont*, float, ImVec2 const&, unsigned int, char const*, char const*, float, ImVec4 const*)
  0.00      1.18     0.00    57096     0.00     0.00  ImGui::CalcTextSize(char const*, char const*, bool, float)
  0.00      1.18     0.00    57096     0.00     0.00  ImFont::CalcTextSizeA(float, float, float, char const*, char const*, char const**)
  0.00      1.18     0.00    57096     0.00     0.00  ImVec2::operator[](unsigned long) const
  0.00      1.18     0.00    57091     0.00     0.00  ImVector<unsigned int>::back()
  0.00      1.18     0.00    52809     0.00     0.00  operator-(ImVec2 const&, ImVec2 const&)
  0.00      1.18     0.00    52350     0.00     0.00  ImGui::GetIO()
  0.00      1.18     0.00    52332     0.00     0.00  ImGui::KeepAliveID(unsigned int)
  0.00      1.18     0.00    52332     0.00     0.00  ImGui::ItemHoverable(ImRect const&, unsigned int, int)
  0.00      1.18     0.00    50147     0.00     0.00  ImFloor(float)
  0.00      1.18     0.00    47580     0.00     0.00  ImDrawList::AddRectFilled(ImVec2 const&, ImVec2 const&, unsigned int, float, int)
  0.00      1.18     0.00    47580     0.00     0.00  ImDrawList::PrimRect(ImVec2 const&, ImVec2 const&, unsigned int)
  0.00      1.18     0.00    42885     0.00     0.00  float ImMin<float>(float, float)
  0.00      1.18     0.00    42822     0.00     0.00  ImVector<ImGuiWindowStackData>::back()
  0.00      1.18     0.00    38848     0.00     0.00  ImGui::ConvertSingleModFlagToKey(ImGuiKey)
  0.00      1.18     0.00    38448     0.00     0.00  ImGui::IsKeyDown(ImGuiKey)
  0.00      1.18     0.00    38448     0.00     0.00  ImGui::IsKeyDown(ImGuiKey, unsigned int)
  0.00      1.18     0.00    38064     0.00     0.00  ImClamp(ImVec2 const&, ImVec2 const&, ImVec2 const&)
  0.00      1.18     0.00    38064     0.00     0.00  ImTrunc64(float)
  0.00      1.18     0.00    38064     0.00     0.00  ImRect::ImRect(ImVec4 const&)
  0.00      1.18     0.00    38058     0.00     0.00  ImGui::ButtonBehavior(ImRect const&, unsigned int, bool*, bool*, int)
  0.00      1.18     0.00    33802     0.00     0.00  ImGui::IsAliasKey(ImGuiKey)
  0.00      1.18     0.00    33391     0.00     0.00  ImVec4::ImVec4(float, float, float, float)
  0.00      1.18     0.00    33350     0.00     0.00  float ImClamp<float>(float, float, float)
  0.00      1.18     0.00    33308     0.00     0.00  ImVector<ImGuiViewportP*>::operator[](int)
  0.00      1.18     0.00    33306     0.00     0.00  UpdateAliasKey(ImGuiKey, bool, float)
  0.00      1.18     0.00    33306     0.00     0.00  ImGui::ItemSize(ImVec2 const&, float)
  0.00      1.18     0.00    33300     0.00     0.00  ImHashData(void const*, unsigned long, unsigned int)
  0.00      1.18     0.00    28558     0.00     0.00  ImGui::GetCurrentContext()
  0.00      1.18     0.00    28549     0.00     0.23  ImGuiWindow::GetID(char const*, char const*)
  0.00      1.18     0.00    28549     0.00     0.00  ImGui::CallContextHooks(ImGuiContext*, ImGuiContextHookType)
  0.00      1.18     0.00    28549     0.00     0.00  ImVector<ImGuiContextHook>::end()
  0.00      1.18     0.00    28549     0.00     0.00  ImVector<ImGuiContextHook>::begin()
  0.00      1.18     0.00    28548     0.00     0.00  ImTrunc(float)
  0.00      1.18     0.00    28548     0.00     0.00  CalcWindowMinSize(ImGuiWindow*)
  0.00      1.18     0.00    28548     0.00     0.00  ImDrawList::_OnChangedClipRect()
  0.00      1.18     0.00    28548     0.00     0.00  ImVector<ImVec4>::back()
  0.00      1.18     0.00    28544     0.00     0.00  ImGuiWindow::Rect() const
  0.00      1.18     0.00    28542     0.00     0.00  ImGuiWindow::GetID(int)
  0.00      1.18     0.00    23795     0.00     0.00  ImVec4::ImVec4()
  0.00      1.18     0.00    23792     0.00     0.00  ImTextureRef::ImTextureRef()
  0.00      1.18     0.00    23792     0.00     0.00  ImGui::MouseButtonToKey(int)
  0.00      1.18     0.00    23790     0.00     0.00  ImGui::RenderNavCursor(ImRect const&, unsigned int, int)
  0.00      1.18     0.00    23790     0.00     0.35  ImGui::RenderTextClippedEx(ImDrawList*, ImVec2 const&, ImVec2 const&, char const*, char const*, ImVec2 const*, ImVec2 const&, ImRect const*)
  0.00      1.18     0.00    23790     0.00     0.00  ImGui::UpdateCurrentFontSize(float)
  0.00      1.18     0.00    23790     0.00     0.00  ImVector<ImDrawCmd>::push_back(ImDrawCmd const&)
  0.00      1.18     0.00    23790     0.00     0.00  ImVector<ImGuiViewportP*>::end()
  0.00      1.18     0.00    23790     0.00     0.00  ImVector<ImGuiViewportP*>::begin()
  0.00      1.18     0.00    23790     0.00     0.00  ImDrawCmd::ImDrawCmd()
  0.00      1.18     0.00    23790     0.00     0.00  ImRect::GetSize() const
  0.00      1.18     0.00    23789     0.00     0.00  ImVector<ImVec2>::reserve_discard(int)
  0.00      1.18     0.00    19044     0.00     0.00  ImFormatStringV(char*, unsigned long, char const*, __va_list_tag*)
  0.00      1.18     0.00    19035     0.00     0.00  ImGui::GetMainViewport()
  0.00      1.18     0.00    19034     0.00     0.00  ImVector<ImTextureData*>::end()
  0.00      1.18     0.00    19034     0.00     0.00  ImVector<ImTextureData*>::begin()
  0.00      1.18     0.00    19033     0.00     0.00  ImVector<ImFontAtlas*>::end()
  0.00      1.18     0.00    19033     0.00     0.00  ImVector<ImFontAtlas*>::begin()
  0.00      1.18     0.00    19032     0.00     0.00  ImFormatStringToTempBufferV(char const**, char const**, char const*, __va_list_tag*)
  0.00      1.18     0.00    19032     0.00     0.00  ImRound64(float)
  0.00      1.18     0.00    19032     0.00     0.00  SetCurrentWindow(ImGuiWindow*)
  0.00      1.18     0.00    19032     0.00     0.00  CalcWindowSizeAfterConstraint(ImGuiWindow*, ImVec2 const&)
  0.00      1.18     0.00    19032     0.00     0.00  ImDrawList::PushClipRect(ImVec2 const&, ImVec2 const&, bool)
  0.00      1.18     0.00    19032     0.00     0.00  ImGui::IsLRModKey(ImGuiKey)
  0.00      1.18     0.00    19032     0.00     0.00  ImGui::PushClipRect(ImVec2 const&, ImVec2 const&, bool)
  0.00      1.18     0.00    19032     0.00     0.00  ImGui::FixupKeyChord(int)
  0.00      1.18     0.00    19032     0.00     0.35  ImGui::RenderTextWrapped(ImVec2, char const*, char const*, float)
  0.00      1.18     0.00    19032     0.00     0.35  ImGui::Text(char const*, ...)
  0.00      1.18     0.00    19032     0.00     0.35  ImGui::TextV(char const*, __va_list_tag*)
  0.00      1.18     0.00    19032     0.00     0.35  ImGui::TextEx(char const*, char const*, int)
  0.00      1.18     0.00    19032     0.00     0.00  ImVector<ImVec4>::push_back(ImVec4 const&)
  0.00      1.18     0.00    19032     0.00     0.00  ImVector<ImGuiWindow*>::end()
  0.00      1.18     0.00    19032     0.00     0.00  ImVector<ImGuiWindow*>::begin()
  0.00      1.18     0.00    19032     0.00     0.00  ImVector<float>::resize(int)
  0.00      1.18     0.00    19032     0.00     0.00  ImGuiWindow::TitleBarRect() const
  0.00      1.18     0.00    19032     0.00     0.00  ImRect::GetWidth() const
  0.00      1.18     0.00    19032     0.00     0.00  ImRect::GetHeight() const
  0.00      1.18     0.00    19028     0.00     0.00  GetResizeBorderRect(ImGuiWindow*, int, float, float)
  0.00      1.18     0.00    19028     0.00     0.00  ImGui::IsActiveIdUsingNavDir(ImGuiDir)
  0.00      1.18     0.00    16024     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>& glm::vec<3, float, (glm::qualifier)0>::operator-=<float>(glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00    14748     0.00     0.00  ImGui::IsMousePosValid(ImVec2 const*)
  0.00      1.18     0.00    14485     0.00     0.00  float ImLerp<float>(float, float, float)
  0.00      1.18     0.00    14484     0.00     0.00  ImFormatString(char*, unsigned long, char const*, ...)
  0.00      1.18     0.00    14280     0.00     0.00  ImGui_ImplOpenGL3_GetBackendData()
  0.00      1.18     0.00    14279     0.00     0.00  ImLowerBound(ImGuiStoragePair*, ImGuiStoragePair*, unsigned int)
  0.00      1.18     0.00    14279     0.00     0.00  ImVector<ImGuiFocusScopeData>::push_back(ImGuiFocusScopeData const&)
  0.00      1.18     0.00    14275     0.00     0.00  ImGui_ImplGlfw_GetBackendData()
  0.00      1.18     0.00    14275     0.00     0.00  ImVector<ImDrawList*>::resize(int)
  0.00      1.18     0.00    14274     0.00     0.00  ImIsPowerOfTwo(int)
  0.00      1.18     0.00    14274     0.00     0.00  ImDrawList::AddDrawCmd()
  0.00      1.18     0.00    14274     0.00     0.35  ImGui::RenderText(ImVec2, char const*, char const*, bool)
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::RenderFrame(ImVec2, ImVec2, unsigned int, bool, float)
  0.00      1.18     0.00    14274     0.00     1.14  ImGui::SliderScalar(char const*, int, void*, void const*, void const*, char const*, int)
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::CalcItemWidth()
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::SliderBehavior(ImRect const&, unsigned int, int, void*, void const*, void const*, char const*, int, ImRect*)
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::TempInputIsActive(unsigned int)
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::DataTypeFormatString(char*, int, int, void const*, char const*)
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::GetTopMostPopupModal()
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::ErrorRecoveryStoreState(ImGuiErrorRecoveryState*)
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::ErrorRecoveryTryToRecoverWindowState(ImGuiErrorRecoveryState const*)
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::NavUpdateCurrentWindowIsScrollPushableX()
  0.00      1.18     0.00    14274     0.00     0.00  ImGui::ItemSize(ImRect const&, float)
  0.00      1.18     0.00    14274     0.00     0.00  ImVector<ImGuiWindowStackData>::resize(int)
  0.00      1.18     0.00    14274     0.00     0.00  ImVector<ImGuiWindow*>::resize(int)
  0.00      1.18     0.00    14274     0.00     0.00  ImVector<unsigned int>::resize(int)
  0.00      1.18     0.00    14274     0.00     0.00  ImGuiViewportP::GetMainRect() const
  0.00      1.18     0.00    14274     0.00     0.00  ImFont::IsLoaded() const
  0.00      1.18     0.00    14273     0.00     0.00  ImDrawList::PathFillConvex(unsigned int)
  0.00      1.18     0.00    14273     0.00     0.00  ImDrawList::AddConvexPolyFilled(ImVec2 const*, int, unsigned int)
  0.00      1.18     0.00    14271     0.00     0.00  ImLerp(ImVec2 const&, ImVec2 const&, ImVec2 const&)
  0.00      1.18     0.00    14271     0.00     0.00  void ImSwap<float>(float&, float&)
  0.00      1.18     0.00    11572     0.00     0.00  float glm::inversesqrt<float>(float)
  0.00      1.18     0.00    11572     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::cross<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00    11572     0.00     0.00  glm::detail::compute_cross<float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00    11572     0.00     0.02  glm::detail::compute_normalize<3, float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00    11572     0.00     0.02  glm::vec<3, float, (glm::qualifier)0> glm::normalize<3, float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00    11110     0.00     0.00  __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >::__normal_iterator(Sphere* const&)
  0.00      1.18     0.00    10016     0.00     0.00  ImGui::IsNamedKeyOrMod(ImGuiKey)
  0.00      1.18     0.00     9612     0.00     0.00  GetMergedModsFromKeys()
  0.00      1.18     0.00     9584     0.00     0.00  operator*(ImVec2 const&, ImVec2 const&)
  0.00      1.18     0.00     9557     0.00     0.00  ImVector<unsigned char>::resize(int)
  0.00      1.18     0.00     9521     0.00     0.00  ImVector<ImDrawListSharedData*>::end()
  0.00      1.18     0.00     9521     0.00     0.00  ImVector<ImDrawListSharedData*>::begin()
  0.00      1.18     0.00     9520     0.00     0.00  ImTrunc(ImVec2 const&)
  0.00      1.18     0.00     9520     0.00     0.00  ImGui::GetKeyOwnerData(ImGuiContext*, ImGuiKey)
  0.00      1.18     0.00     9520     0.00     0.00  ImVector<ImGuiWindow*>::push_back(ImGuiWindow* const&)
  0.00      1.18     0.00     9518     0.00     0.00  ImGui::TestKeyOwner(ImGuiKey, unsigned int)
  0.00      1.18     0.00     9518     0.00     0.00  ImGui::FindWindowByID(unsigned int)
  0.00      1.18     0.00     9518     0.00     0.00  ImGuiStorage::GetVoidPtr(unsigned int) const
  0.00      1.18     0.00     9517     0.00     0.00  ImGui_ImplOpenGL3_InitLoader()
  0.00      1.18     0.00     9517     0.00     0.00  ImFontAtlasUpdateDrawListsSharedData(ImFontAtlas*)
  0.00      1.18     0.00     9517     0.00     0.00  float ImGui::ScaleRatioFromValueT<float, float, float>(int, float, float, float, bool, float, float)
  0.00      1.18     0.00     9517     0.00     0.00  ImVector<ImDrawList*>::end()
  0.00      1.18     0.00     9517     0.00     0.00  ImVector<ImDrawList*>::begin()
  0.00      1.18     0.00     9516     0.00     0.00  ClampWindowPos(ImGuiWindow*, ImRect const&)
  0.00      1.18     0.00     9516     0.00     0.00  GetWindowBgColorIdx(ImGuiWindow*)
  0.00      1.18     0.00     9516     0.00     0.00  AddWindowToSortBuffer(ImVector<ImGuiWindow*>*, ImGuiWindow*)
  0.00      1.18     0.00     9516     0.00     0.00  CalcWindowAutoFitSize(ImGuiWindow*, ImVec2 const&)
  0.00      1.18     0.00     9516     0.00     0.00  CalcWindowContentSizes(ImGuiWindow*, ImVec2*, ImVec2*)
  0.00      1.18     0.00     9516     0.00     0.00  IsWindowActiveAndVisible(ImGuiWindow*)
  0.00      1.18     0.00     9516     0.00     0.00  CalcNextScrollFromScrollTargetAndClamp(ImGuiWindow*)
  0.00      1.18     0.00     9516     0.00     0.00  ImDrawList::PathStroke(unsigned int, int, float)
  0.00      1.18     0.00     9516     0.00     0.00  ImDrawList::AddPolyline(ImVec2 const*, int, unsigned int, int, float)
  0.00      1.18     0.00     9516     0.00     0.00  ImDrawList::PopClipRect()
  0.00      1.18     0.00     9516     0.00     0.00  ImDrawList::PushTexture(ImTextureRef)
  0.00      1.18     0.00     9516     0.00     0.00  ImDrawList::AddTriangleFilled(ImVec2 const&, ImVec2 const&, ImVec2 const&, unsigned int)
  0.00      1.18     0.00     9516     0.00     0.00  ImDrawList::_OnChangedTexture()
  0.00      1.18     0.00     9516     0.00     0.00  ImDrawList::AddRect(ImVec2 const&, ImVec2 const&, unsigned int, float, int, float)
  0.00      1.18     0.00     9516     0.00     0.00  ImDrawList::PathRect(ImVec2 const&, ImVec2 const&, float, int)
  0.00      1.18     0.00     9516     0.00     0.00  ImGuiMenuColumns::CalcNextTotalWidth(bool)
  0.00      1.18     0.00     9516     0.00     0.00  ImGuiMenuColumns::Update(float, bool)
  0.00      1.18     0.00     9516     0.00     0.00  ImDrawListSplitter::Clear()
  0.00      1.18     0.00     9516     0.00     0.00  ImGuiNextWindowData::ClearFlags()
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::PopClipRect()
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::RenderArrow(ImDrawList*, ImVec2, unsigned int, ImGuiDir, float)
  0.00      1.18     0.00     9516     0.00     1.14  ImGui::SliderFloat(char const*, float*, float, float, char const*, int)
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::IsItemActive()
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::PopFocusScope()
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::CollapseButton(unsigned int, ImVec2 const&)
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::PushFocusScope(unsigned int)
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::SetCurrentFont(ImFont*, float, float)
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::SetLastItemData(unsigned int, int, int, ImRect const&)
  0.00      1.18     0.00     9516     0.00     0.00  bool ImGui::SliderBehaviorT<float, float, float>(ImRect const&, unsigned int, int, float*, float, float, char const*, int, ImRect*)
  0.00      1.18     0.00     9516     0.00     0.23  ImGui::FindWindowByName(char const*)
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::IsKeyChordPressed(int, int, unsigned int)
  0.00      1.18     0.00     9516     0.00     0.00  ImGui::SetWindowViewport(ImGuiWindow*, ImGuiViewportP*)
